name,count,id,lat,lng
Central Ave & Lake St,132,16905,41.887730241,-87.765447617
Central Ave & Madison St,88,16916,41.880121,-87.763238
Central Ave & Parker Ave,165,355,41.930155158,-87.766102672
Central Ave & Roscoe St,120,21396,41.942275,-87.76695
Central Ave & Wellington Ave,42,23173,41.934903383,-87.766847849
Central Park & Augusta Blvd,171,370,41.89883183333333,-87.716398
Central Park Ave & 24th St,184,15687,41.8481,-87.715068
Central Park Ave & 66th St,6,24144,41.773258,-87.713143
Central Park Ave & Ardmore Ave,42,24157,41.986642,-87.718656
Central Park Ave & Bloomingdale Ave,2038,18017,41.914166,-87.716755
Central Park Ave & Douglas Blvd,50,329.0,41.86235116666667,-87.71589416666667
Central Park Ave & Elbridge Ave,2416,15644,41.93533728263,-87.7168892935
Central Park Ave & North Ave,941,15652,41.90965687563,-87.7166319516
Central Park Ave & Ogden Ave,641,15685,41.854064,-87.715117
Central Park Ave & Ohio St,105,369,41.891913295,-87.71644938
Central Park Ave & Washington Blvd,25,23210,41.881497,-87.715904
Central Park Blvd & 5th Ave,115,16907,41.875680447,-87.715513468
Central St & Girard Ave,880,E007,42.064313,-87.686152
Central St Metra,1048,E006,42.063598,-87.69873
Cherry Ave & Blackhawk St,1898,18069,41.907221,-87.655618
Chicago Ave & Sheridan Rd,4783,E008,42.050491,-87.677821
Chicago Ave & Washington St,2339,E002,42.032562,-87.679101
Chicago State University,314,20106,41.71896342165455,-87.60829567909241
Christiana Ave & Lawrence Ave,1559,15615,41.96835449363,-87.7118306675
Cicero Ave & Flournoy St,95,16912,41.872131,-87.746619
Cicero Ave & Grace St,254,322,41.949787259,-87.746974587
Cicero Ave & Lake St,146,16903,41.88688159,-87.745326519
Cicero Ave & Quincy St,73,16913,41.877713442,-87.745347857
Cicero Ave & Roscoe Ave,74,23165,41.942427,-87.747315
Cicero Ave & Wellington Ave,1,24174,41.93515,-87.74636
Cicero Ave & Wrightwood Ave,63,23180,41.927896261,-87.746932507
Cityfront Plaza Dr & Pioneer Ct,11657,13427,41.890573,-87.622072
Claremont Ave & Hirsch St,3089,13245,41.907781,-87.685854
Clarendon Ave & Gordon Ter,13114,13379,41.95786652415174,-87.64950513839722
Clarendon Ave & Junior Ter,10042,13389,41.961004,-87.649603
Clarendon Ave & Leland Ave,5457,TA1307000119,41.967968,-87.650001
Clark St & 9th St (AMLI),5496,SL-009,41.870816,-87.631246
Clark St & Armitage Ave,21730,13146,41.918306,-87.636282
Clark St & Berwyn Ave,10270,KA1504000146,41.97803062248656,-87.66856491565704
Clark St & Bryn Mawr Ave,7534,KA1504000151,41.983593,-87.669154
Clark St & Chicago Ave,10089,13303,41.89675,-87.63089
Clark St & Columbia Ave,2253,RP-008,42.00445062934,-87.6724024047
Clark St & Drummond Pl,17583,TA1307000142,41.931248,-87.644336
Clark St & Elm St,31184,TA1307000039,41.902973,-87.63128
Clark St & Elmdale Ave,3090,KA1504000148,41.990860448125574,-87.66972362995148
Clark St & Grace St,11365,TA1307000127,41.95078,-87.659172
Clark St & Ida B Wells Dr,7329,TA1305000009,41.8759326655,-87.6305845355
Clark St & Jarvis Ave,1251,517,42.015963,-87.675005
Clark St & Lake St,15166,KA1503000012,41.88602082773,-87.6308760584
Clark St & Leland Ave,9091,TA1309000014,41.96708783918421,-87.66729086637497
Clark St & Lincoln Ave,21281,13179,41.915689,-87.6346
Clark St & Lunt Ave,4083,KA1504000162,42.00901118058077,-87.67411172389984
Clark St & Montrose Ave,6905,KA1503000022,41.961588,-87.666036
Clark St & Newport St,18049,632,41.94454,-87.654678
Clark St & North Ave,10309,13128,41.911974,-87.631942
Clark St & Randolph St,7957,TA1305000030,41.884576,-87.63189
Clark St & Schiller St,15930,TA1309000024,41.907993,-87.631501
Clark St & Schreiber Ave,2894,KA1504000156,41.999897,-87.670073
Clark St & Touhy Ave,1195,RP-007,42.01256011541,-87.6743671152
Clark St & Wellington Ave,13651,TA1307000136,41.9364968219,-87.6475386582
Clark St & Winnemac Ave,13509,TA1309000035,41.97334764047304,-87.6678554713726
Clark St & Wrightwood Ave,19160,TA1305000014,41.929546,-87.643118
Clifton Ave & Armitage Ave,9224,TA1307000163,41.918216,-87.656936
Clinton St & 18th St,2728,TA1307000044,41.85795,-87.640826
Clinton St & Jackson Blvd,20774,638,41.87831661183069,-87.64098107814789
Clinton St & Lake St,16234,13021,41.885637,-87.641823
Clinton St & Madison St,25728,TA1305000032,41.882751965685614,-87.64119029045105
Clinton St & Polk St,997,15542,41.871467,-87.640949
Clinton St & Roosevelt Rd,6073,WL-008,41.8671177825,-87.6410879593
Clinton St & Tilden St,5269,13037,41.875885,-87.640795
Clinton St & Washington Blvd,30652,WL-012,41.88338,-87.64117
Clybourn Ave & Division St,5673,TA1307000115,41.904613,-87.640552
Clyde Ave & 87th St,97,20230,41.73715146431056,-87.57274031639099
Columbus Ave & 79th St,23,23128,41.749177933,-87.70424521
Columbus Ave & 83rd Pl,14,23116,41.741346,-87.713696
Columbus Dr & Randolph St,17580,13263,41.884728,-87.619521
Commercial Ave & 100th St,29,20225,41.71331739547703,-87.55109757184982
Commercial Ave & 130th St,147,20213,41.65915,-87.550762
Commercial Ave & 83rd St,230,TA1309000051,41.744615,-87.551208
Conservatory Dr & Lake St,468,518,41.885463834,-87.716871858
Constance Ave & 95th St,71,20228,41.72229074095262,-87.57896840572357
Cornell Ave & Hyde Park Blvd,6881,KA1503000007,41.802406,-87.586924
Cottage Grove Ave & 111th Pl,67,20131,41.69170975847015,-87.61000156402588
Cottage Grove Ave & 43rd St,852,TA1308000023,41.816499,-87.606582
Cottage Grove Ave & 47th St,1181,TA1309000053,41.809855,-87.606755
Cottage Grove Ave & 51st St,1220,TA1309000067,41.803046703,-87.606616616
Cottage Grove Ave & 63rd St,1240,KA1503000054,41.78053094070882,-87.6059702038765
Cottage Grove Ave & 67th St,429,KA1503000031,41.77372095205,-87.60563486
Cottage Grove Ave & 71st St,77,KA1503000003,41.76571903697,-87.604959713
Cottage Grove Ave & 78th St,66,575,41.753193736,-87.604746342
Cottage Grove Ave & 83rd St,217,585,41.743441,-87.604836
Cottage Grove Ave & Oakwood Blvd,904,TA1308000038,41.822985,-87.6071
Daley Center Plaza,17195,TA1306000010,41.884241,-87.629634
Damen Ave & 33rd St,72,471,41.834185833333336,-87.67515066666667
Damen Ave & 51st St,71,554,41.800908,-87.674684
Damen Ave & 59th St,82,561,41.785861,-87.674144
Damen Ave & 74th St,47,16951,41.759274,-87.673634
Damen Ave & 81st St,36,23120,41.746431708,-87.673109651
Damen Ave & 87th St,47,23121,41.736044,-87.672861
Damen Ave & Charleston St,5559,13288,41.920082,-87.677855
Damen Ave & Chicago Ave,8624,13132,41.895769,-87.67722
Damen Ave & Clybourn Ave,4195,13271,41.931931,-87.677856
Damen Ave & Cortland St,9514,13133,41.915983,-87.677335
Damen Ave & Coulter St,300,TA1307000066,41.8492,-87.67564
Damen Ave & Cullerton St,2063,13089,41.854966518753926,-87.67569959163664
Damen Ave & Division St,7502,13136,41.903266,-87.678435
Damen Ave & Foster Ave,4496,KA1504000149,41.97561480459,-87.6794590387
Damen Ave & Grand Ave,4767,TA1308000006,41.892394452962705,-87.67688512802124
Damen Ave & Leland Ave,6228,TA1307000158,41.966946,-87.678893
Damen Ave & Madison St,3113,13134,41.88137,-87.67493
Damen Ave & Melrose Ave,3544,13143,41.9406,-87.6785
